부품ID,랙타입,부품명,규격,단가,표시명,출처,비고,카테고리
경량랙-기둥아이보리-h1200,경량랙,기둥아이보리(1200),,6600,경량랙 기둥(1200),bom_data,,
경량랙-기둥아이보리-h1500,경량랙,기둥아이보리(1500),,6600,경량랙 기둥(1500),bom_data,,
경량랙-기둥아이보리-h1800,경량랙,기둥아이보리(1800),,8000,경량랙 기둥(1800),bom_data,,
경량랙-기둥아이보리-h2100,경량랙,기둥아이보리(2100),,9000,경량랙 기둥(2100),bom_data,,
경량랙-기둥아이보리-h2400,경량랙,기둥아이보리(2400),,10000,경량랙 기둥(2400),bom_data,,
경량랙-기둥아이보리-h900,경량랙,기둥아이보리(900),,5600,경량랙 기둥(900),bom_data,,
경량랙-기둥아이보리-h750,경량랙,기둥아이보리(H750),높이 H750,0,경량랙 기둥(H750) 높이 H750,h750_generated,,
경량랙-기둥블랙-h1200,경량랙,기둥블랙(1200),,6600,경량랙 기둥(1200),bom_data,,
경량랙-기둥블랙-h1500,경량랙,기둥블랙(1500),,6600,경량랙 기둥(1500),bom_data,,
경량랙-기둥블랙-h1800,경량랙,기둥블랙(1800),,8000,경량랙 기둥(1800),bom_data,,
경량랙-기둥블랙-h2100,경량랙,기둥블랙(2100),,9000,경량랙 기둥(2100),bom_data,,
경량랙-기둥블랙-h2400,경량랙,기둥블랙(2400),,10000,경량랙 기둥(2400),bom_data,,
경량랙-기둥블랙-h900,경량랙,기둥블랙(900),,5600,경량랙 기둥(900),bom_data,,
경량랙-기둥블랙-h750,경량랙,기둥블랙(H750),높이 H750,0,경량랙 기둥(H750) 높이 H750,h750_generated,,
경량랙-기둥실버-h1200,경량랙,기둥실버(1200),,6600,경량랙 기둥(1200),bom_data,,
경량랙-기둥실버-h1500,경량랙,기둥실버(1500),,6600,경량랙 기둥(1500),bom_data,,
경량랙-기둥실버-h1800,경량랙,기둥실버(1800),,8000,경량랙 기둥(1800),bom_data,,
경량랙-기둥실버-h2100,경량랙,기둥실버(2100),,9000,경량랙 기둥(2100),bom_data,,
경량랙-기둥실버-h2400,경량랙,기둥실버(2400),,10000,경량랙 기둥(2400),bom_data,,
경량랙-기둥실버-h900,경량랙,기둥실버(900),,5600,경량랙 기둥(900),bom_data,,
경량랙-기둥실버-h750,경량랙,기둥실버(H750),높이 H750,0,경량랙 기둥(H750) 높이 H750,h750_generated,,
경량랙-받침상아이보리-d300,경량랙,받침아이보리(상)(300),D300,0,경량랙 받침(상)(300) D300,h750_generated,,
경량랙-받침상아이보리-d450,경량랙,받침아이보리(상)(450),D450,0,경량랙 받침(상)(450) D450,excel_h750_generated,,
경량랙-받침상아이보리-d600,경량랙,받침아이보리(상)(600),D600,0,경량랙 받침(상)(600) D600,excel_h750_generated,,
경량랙-받침하아이보리-d300,경량랙,받침아이보리(하)(300),D300,0,경량랙 받침(하)(300) D300,h750_generated,,
경량랙-받침하아이보리-d450,경량랙,받침아이보리(하)(450),D450,0,경량랙 받침(하)(450) D450,excel_h750_generated,,
경량랙-받침하아이보리-d600,경량랙,받침아이보리(하)(600),D600,0,경량랙 받침(하)(600) D600,excel_h750_generated,,
경량랙-받침상블랙-d300,경량랙,받침블랙(상)(300),D300,0,경량랙 받침(상)(300) D300,h750_generated,,
경량랙-받침상블랙-d450,경량랙,받침블랙(상)(450),D450,0,경량랙 받침(상)(450) D450,excel_h750_generated,,
경량랙-받침상블랙-d600,경량랙,받침블랙(상)(600),D600,0,경량랙 받침(상)(600) D600,excel_h750_generated,,
경량랙-받침하블랙-d300,경량랙,받침블랙(하)(300),D300,0,경량랙 받침(하)(300) D300,h750_generated,,
경량랙-받침하블랙-d450,경량랙,받침블랙(하)(450),D450,0,경량랙 받침(하)(450) D450,excel_h750_generated,,
경량랙-받침하블랙-d600,경량랙,받침블랙(하)(600),D600,0,경량랙 받침(하)(600) D600,excel_h750_generated,,
경량랙-받침상실버-d300,경량랙,받침실버(상)(300),D300,0,경량랙 받침(상)(300) D300,h750_generated,,
경량랙-받침상실버-d450,경량랙,받침실버(상)(450),D450,0,경량랙 받침(상)(450) D450,excel_h750_generated,,
경량랙-받침상실버-d600,경량랙,받침실버(상)(600),D600,0,경량랙 받침(상)(600) D600,excel_h750_generated,,
경량랙-받침하실버-d300,경량랙,받침실버(하)(300),D300,0,경량랙 받침(하)(300) D300,h750_generated,,
경량랙-받침하실버-d450,경량랙,받침실버(하)(450),D450,0,경량랙 받침(하)(450) D450,excel_h750_generated,,
경량랙-받침하실버-d600,경량랙,받침실버(하)(600),D600,0,경량랙 받침(하)(600) D600,excel_h750_generated,,
경량랙-선반아이보리-w700xd300,경량랙,선반아이보리(700),사이즈 W700xD300,0,경량랙 선반(700) 사이즈 W700xD300,h750_generated,,
경량랙-선반아이보리-w700xd450,경량랙,선반아이보리(700),사이즈 W700xD450,0,경량랙 선반(700) 사이즈 W700xD450,excel_h750_generated,,
경량랙-선반아이보리-w700xd600,경량랙,선반아이보리(700),사이즈 W700xD600,0,경량랙 선반(700) 사이즈 W700xD600,excel_h750_generated,,
경량랙-선반아이보리-w900xd300,경량랙,선반아이보리(900),사이즈 W900xD300,0,경량랙 선반(900) 사이즈 W900xD300,excel_h750_generated,,
경량랙-선반아이보리-w900xd450,경량랙,선반아이보리(900),사이즈 W900xD450,0,경량랙 선반(900) 사이즈 W900xD450,excel_h750_generated,,
경량랙-선반아이보리-w900xd600,경량랙,선반아이보리(900),사이즈 W900xD600,0,경량랙 선반(900) 사이즈 W900xD600,excel_h750_generated,,
경량랙-선반아이보리-w1000xd300,경량랙,선반아이보리(1000),사이즈 W1000xD300,0,경량랙 선반(1000) 사이즈 W1000xD300,excel_h750_generated,,
경량랙-선반아이보리-w1000xd450,경량랙,선반아이보리(1000),사이즈 W1000xD450,0,경량랙 선반(1000) 사이즈 W1000xD450,excel_h750_generated,,
경량랙-선반아이보리-w1000xd600,경량랙,선반아이보리(1000),사이즈 W1000xD600,0,경량랙 선반(1000) 사이즈 W1000xD600,excel_h750_generated,,
경량랙-선반아이보리-w1200xd300,경량랙,선반아이보리(1200),사이즈 W1200xD300,0,경량랙 선반(1200) 사이즈 W1200xD300,excel_h750_generated,,
경량랙-선반아이보리-w1200xd450,경량랙,선반아이보리(1200),사이즈 W1200xD450,0,경량랙 선반(1200) 사이즈 W1200xD450,excel_h750_generated,,
경량랙-선반아이보리-w1200xd600,경량랙,선반아이보리(1200),사이즈 W1200xD600,0,경량랙 선반(1200) 사이즈 W1200xD600,excel_h750_generated,,
경량랙-선반아이보리-w1500xd300,경량랙,선반아이보리(1500),사이즈 W1500xD300,0,경량랙 선반(1500) 사이즈 W1500xD300,excel_h750_generated,,
경량랙-선반아이보리-w1500xd450,경량랙,선반아이보리(1500),사이즈 W1500xD450,0,경량랙 선반(1500) 사이즈 W1500xD450,excel_h750_generated,,
경량랙-선반아이보리-w1500xd600,경량랙,선반아이보리(1500),사이즈 W1500xD600,0,경량랙 선반(1500) 사이즈 W1500xD600,excel_h750_generated,,
경량랙-선반블랙-w700xd300,경량랙,선반블랙(700),사이즈 W700xD300,0,경량랙 선반(700) 사이즈 W700xD300,h750_generated,,
경량랙-선반블랙-w700xd450,경량랙,선반블랙(700),사이즈 W700xD450,0,경량랙 선반(700) 사이즈 W700xD450,excel_h750_generated,,
경량랙-선반블랙-w700xd600,경량랙,선반블랙(700),사이즈 W700xD600,0,경량랙 선반(700) 사이즈 W700xD600,excel_h750_generated,,
경량랙-선반블랙-w900xd300,경량랙,선반블랙(900),사이즈 W900xD300,0,경량랙 선반(900) 사이즈 W900xD300,excel_h750_generated,,
경량랙-선반블랙-w900xd450,경량랙,선반블랙(900),사이즈 W900xD450,0,경량랙 선반(900) 사이즈 W900xD450,excel_h750_generated,,
경량랙-선반블랙-w900xd600,경량랙,선반블랙(900),사이즈 W900xD600,0,경량랙 선반(900) 사이즈 W900xD600,excel_h750_generated,,
경량랙-선반블랙-w1000xd300,경량랙,선반블랙(1000),사이즈 W1000xD300,0,경량랙 선반(1000) 사이즈 W1000xD300,excel_h750_generated,,
경량랙-선반블랙-w1000xd450,경량랙,선반블랙(1000),사이즈 W1000xD450,0,경량랙 선반(1000) 사이즈 W1000xD450,excel_h750_generated,,
경량랙-선반블랙-w1000xd600,경량랙,선반블랙(1000),사이즈 W1000xD600,0,경량랙 선반(1000) 사이즈 W1000xD600,excel_h750_generated,,
경량랙-선반블랙-w1200xd300,경량랙,선반블랙(1200),사이즈 W1200xD300,0,경량랙 선반(1200) 사이즈 W1200xD300,excel_h750_generated,,
경량랙-선반블랙-w1200xd450,경량랙,선반블랙(1200),사이즈 W1200xD450,0,경량랙 선반(1200) 사이즈 W1200xD450,excel_h750_generated,,
경량랙-선반블랙-w1200xd600,경량랙,선반블랙(1200),사이즈 W1200xD600,0,경량랙 선반(1200) 사이즈 W1200xD600,excel_h750_generated,,
경량랙-선반블랙-w1500xd300,경량랙,선반블랙(1500),사이즈 W1500xD300,0,경량랙 선반(1500) 사이즈 W1500xD300,excel_h750_generated,,
경량랙-선반블랙-w1500xd450,경량랙,선반블랙(1500),사이즈 W1500xD450,0,경량랙 선반(1500) 사이즈 W1500xD450,excel_h750_generated,,
경량랙-선반블랙-w1500xd600,경량랙,선반블랙(1500),사이즈 W1500xD600,0,경량랙 선반(1500) 사이즈 W1500xD600,excel_h750_generated,,
경량랙-선반실버-w700xd300,경량랙,선반실버(700),사이즈 W700xD300,0,경량랙 선반(700) 사이즈 W700xD300,h750_generated,,
경량랙-선반실버-w700xd450,경량랙,선반실버(700),사이즈 W700xD450,0,경량랙 선반(700) 사이즈 W700xD450,excel_h750_generated,,
경량랙-선반실버-w700xd600,경량랙,선반실버(700),사이즈 W700xD600,0,경량랙 선반(700) 사이즈 W700xD600,excel_h750_generated,,
경량랙-선반실버-w900xd300,경량랙,선반실버(900),사이즈 W900xD300,0,경량랙 선반(900) 사이즈 W900xD300,excel_h750_generated,,
경량랙-선반실버-w900xd450,경량랙,선반실버(900),사이즈 W900xD450,0,경량랙 선반(900) 사이즈 W900xD450,excel_h750_generated,,
경량랙-선반실버-w900xd600,경량랙,선반실버(900),사이즈 W900xD600,0,경량랙 선반(900) 사이즈 W900xD600,excel_h750_generated,,
경량랙-선반실버-w1000xd300,경량랙,선반실버(1000),사이즈 W1000xD300,0,경량랙 선반(1000) 사이즈 W1000xD300,excel_h750_generated,,
경량랙-선반실버-w1000xd450,경량랙,선반실버(1000),사이즈 W1000xD450,0,경량랙 선반(1000) 사이즈 W1000xD450,excel_h750_generated,,
경량랙-선반실버-w1000xd600,경량랙,선반실버(1000),사이즈 W1000xD600,0,경량랙 선반(1000) 사이즈 W1000xD600,excel_h750_generated,,
경량랙-선반실버-w1200xd300,경량랙,선반실버(1200),사이즈 W1200xD300,0,경량랙 선반(1200) 사이즈 W1200xD300,excel_h750_generated,,
경량랙-선반실버-w1200xd450,경량랙,선반실버(1200),사이즈 W1200xD450,0,경량랙 선반(1200) 사이즈 W1200xD450,excel_h750_generated,,
경량랙-선반실버-w1200xd600,경량랙,선반실버(1200),사이즈 W1200xD600,0,경량랙 선반(1200) 사이즈 W1200xD600,excel_h750_generated,,
경량랙-선반실버-w1500xd300,경량랙,선반실버(1500),사이즈 W1500xD300,0,경량랙 선반(1500) 사이즈 W1500xD300,excel_h750_generated,,
경량랙-선반실버-w1500xd450,경량랙,선반실버(1500),사이즈 W1500xD450,0,경량랙 선반(1500) 사이즈 W1500xD450,excel_h750_generated,,
경량랙-선반실버-w1500xd600,경량랙,선반실버(1500),사이즈 W1500xD600,0,경량랙 선반(1500) 사이즈 W1500xD600,excel_h750_generated,,
경량랙-연결대아이보리-w700,경량랙,연결대아이보리(700),W700,0,경량랙 연결대(700) W700,h750_generated,,
경량랙-연결대아이보리-w900,경량랙,연결대아이보리(900),W900,0,경량랙 연결대(900) W900,excel_h750_generated,,
경량랙-연결대아이보리-w1000,경량랙,연결대아이보리(1000),W1000,0,경량랙 연결대(1000) W1000,excel_h750_generated,,
경량랙-연결대아이보리-w1200,경량랙,연결대아이보리(1200),W1200,0,경량랙 연결대(1200) W1200,excel_h750_generated,,
경량랙-연결대아이보리-w1500,경량랙,연결대아이보리(1500),W1500,0,경량랙 연결대(1500) W1500,excel_h750_generated,,
경량랙-연결대블랙-w700,경량랙,연결대블랙(700),W700,0,경량랙 연결대(700) W700,h750_generated,,
경량랙-연결대블랙-w900,경량랙,연결대블랙(900),W900,0,경량랙 연결대(900) W900,excel_h750_generated,,
경량랙-연결대블랙-w1000,경량랙,연결대블랙(1000),W1000,0,경량랙 연결대(1000) W1000,excel_h750_generated,,
경량랙-연결대블랙-w1200,경량랙,연결대블랙(1200),W1200,0,경량랙 연결대(1200) W1200,excel_h750_generated,,
경량랙-연결대블랙-w1500,경량랙,연결대블랙(1500),W1500,0,경량랙 연결대(1500) W1500,excel_h750_generated,,
경량랙-연결대실버-w700,경량랙,연결대실버(700),W700,0,경량랙 연결대(700) W700,h750_generated,,
경량랙-연결대실버-w900,경량랙,연결대실버(900),W900,0,경량랙 연결대(900) W900,excel_h750_generated,,
경량랙-연결대실버-w1000,경량랙,연결대실버(1000),W1000,0,경량랙 연결대(1000) W1000,excel_h750_generated,,
경량랙-연결대실버-w1200,경량랙,연결대실버(1200),W1200,0,경량랙 연결대(1200) W1200,excel_h750_generated,,
경량랙-연결대실버-w1500,경량랙,연결대실버(1500),W1500,0,경량랙 연결대(1500) W1500,excel_h750_generated,,
경량랙-안전좌-,경량랙,안전좌,,500,경량랙 안전좌,bom_data,,
경량랙-안전핀-,경량랙,안전핀,,100,경량랙 안전핀,bom_data,,
