상품사진,상품번호(스마트스토어),상품명,전시상태,재고수량,판매가,할인가,브랜드명,상품등록일,최종수정일
,11170353839,파렛트랙 파래트랙 파렛트랙 중량랙 창고 수납 1000x2660x1990 2단,전시중지,190575,530000,164300,하이랙,2024-11-24 12:57,2025-12-01 21:06
,11155886454,하이랙 철제선반 앵글 중량랙 경량랙 창고 파렛트랙 메트그레이 601084단 200kg,전시중,42304,255000,129000,하이랙,2024-11-20 21:08,2025-09-09 16:13
,11155210112,하이랙 철제선반 앵글 중량랙 경량랙 창고 파렛트랙 아이보리 601084단 200kg,전시중,42468,256000,129000,하이랙,2024-11-20 18:55,2025-11-30 17:26
,11143321416,하이랙 철제선반 앵글 중량랙 경량랙 창고 파렛트랙 아이보리 601084단 200kg,전시중,42321,255000,128000,하이랙,2024-11-17 22:57,2025-09-09 16:14
,10968414261,스텐랙 선반 앵글 창고 선반 수납 냉동 스탠 베란다 중량랙 냉장 507575 4단,전시중,48332,320000,165000,사이버랙,2024-10-07 13:21,2026-01-06 20:47
,10953452485,스텐랙 선반 앵글 냉동창고 주방선반 화분대 진열대 수납 베란다 중량랙 냉장,전시중,37953,320000,175000,올스텐랙,2024-10-03 12:21,2025-12-01 21:09
,10866470435,선반 앵글 냉동창고 스텐랙 주방 진열대 수납 베란다 중량랙 냉장 50x75x75 4단,전시중,7520,330000,185000,사이버랙,2024-09-11 17:00,2025-12-01 21:16
,10496949998,"중량랙 무볼트 철제선반 물류창고 수납 앵글 60x155, 240cm(독립형), 4단",전시중,4826247,552000,296000,중량선반,2024-06-25 10:26,2025-12-01 19:11
,10493084857,하이랙 철제선반 앵글 중량랙 수납 파렛트랙 창고 볼트식 200kg 61x151x151 4단,전시중,54198,255000,135000,하이랙,2024-06-24 13:50,2025-09-09 16:16
,10489923102,파렛트랙 중량 철제 파랫트 파래트랙 창고랙 1000x2660x1500 2단독립,전시중,22273,560000,286000,삼미 파렛트랙,2024-06-23 17:07,2025-12-01 21:10
,9899111478,초스피드앵글 철제선반 앵글 베란다 조립식 펜트리 고릴라랙 무볼트 30x100x210 5단,전시중,248961,160000,82000,초스피드선반,2024-01-29 19:41,2026-01-08 21:09
,8824456471,초스피드앵글 철제선반 무볼트 베란다 펜트리 메탈랙 수납장 베란다 창고 30x30 90 4단,전시중,249467,174000,97000,초스피드앵글,2023-07-05 21:45,2026-01-08 21:10
,7849882684,하이랙 철제선반 중량랙 조립식 물류 창고 앵글 무볼트 수납 선반230키로 60108150 4단,전시중,58775,255000,129000,하이랙,2023-01-02 12:11,2026-02-06 14:42
,7805430413,하이랙 철제선반 경량랙 조립식앵글 중량 수납 블루오렌지 60 200 200 4단 200kg,전시중,4468,260000,150000,하이랙,2022-12-24 18:36,2025-11-28 22:36
,7016041829,파렛트랙 중량랙 앵글 철제선반 창고 수납장 적재수납 1000x1460x2000 3단 독립,전시중,120095,508000,264000,삼미 파렛트랙,2022-08-08 15:44,2026-01-15 20:40
,7015077616,하이랙 철제선반 앵글 중량랙 물류 창고 파렛트랙 60x108x200 4단 270kg,전시중,75965,235000,119000,하이랙,2022-08-08 10:43,2026-02-06 14:39
,2017414487,조립식 앵글선반 철제선반  아이보리랙 30x75x75 4단2열,전시중,192678,231000,156000,,2017-06-13 12:32,2025-12-01 6:58
,2017413133,실버랙 앵글선반 철제선반 스텐랙 경량랙 기타 30 x75x75 130kg 독립형4단2열,전시중,193853,258000,139000,실버랙,2017-06-13 12:31,2025-11-30 22:08
,2017407050,철제선반 경량랙 수납장 조립식앵글 베란다 무볼트 펜트리 창고 중량랙 블랙3075 4단2열,전시중,191525,231000,156000,경량랙,2017-06-13 12:25,2025-12-01 19:05
,2016488777,철제선반 경량랙 창고 무볼트 조립식앵글 매탈 랙 블랙 130kg 30 75 75 4단2열,전시중,383603,272000,146000,경량랙,2017-06-12 11:39,2025-12-02 16:00
,2016485551,실버랙 철제선반 앵글선반 매탈 경량 창고 스텐 무볼트 펜트리 120kg 3075 4단2열,전시중,188144,260000,137000,실버랙,2017-06-12 11:34,2026-02-01 13:47
,2016414646,조립식 앵글선반 경량랙 철제선반 메탈랙 렉 아이보리30x 75x75 100kg 4단2열,전시중,190720,235000,155000,경량랙,2017-06-12 9:48,2025-11-28 22:08
,740453687,초스피드선반 철제선반 메탈랙 앵글 베란다 조립식 펜트리 창고 무볼트 3090120 5단,전시중,416380,121800,61000,초스피드 선반,2017-04-27 17:56,2025-12-02 3:56
,740267479,"경량랙 중량랙 앵글 선반 조립식앵글 진열대 진열장 수납 창고 물류30 75,4단2열",전시중,383287,275000,145000,철제선반,2017-04-27 15:40,2025-12-01 21:07
,600017224,중량랙 철제선반 조립식 앵글 창고 펜트리 물류수납 렉 60 x155 180cm 독립형 4단,전시중,4744541,520000,263000,중량랙,2016-12-22 18:25,2026-02-06 13:57
,587364316,초스피드앵글 철제선반 수납 조립식앵글 베란다 창고 펜트리 메탈 무볼트 30901205단,전시중,415855,131800,71000,삼미앵글랙산업(주),2016-12-15 14:12,2025-09-09 16:15
,128470181,철제선반 무볼트 조립식 앵글 경량랙 베란다 창고 수납 30 75 75 4단2열,전시중,383491,272000,146000,경량랙,2013-03-08 14:03,2026-01-30 19:55
